,ann_return_pct,ann_vol_pct,sharpe,max_drawdown_pct,avg_turnover,avg_leverage,avg_max_weight,avg_short_pct,diagnostic
Sample,-0.47238640342463745,11.765801800918432,-0.04014910427844902,-17.410753594402514,8.101032445484616,9.221642711409627,0.08765935899986577,411.08213557048134,
LW-identity,2.9721624773439963,10.200367664914461,0.2913779752829057,-14.742508082192119,3.362303669639992,6.945147607348303,0.0671128753658833,297.2573803674151,0.058446284900395294
LW-constcorr,6.229872792732783,9.342940421001824,0.6668000128448606,-12.588148222773455,2.240040677152202,5.854199033031158,0.09883581455652084,242.7099516515579,0.29583090589969735
MP-clipped,9.027331218157038,9.768968721350873,0.9240823136660345,-8.607488008442873,1.2817183042180396,4.387905585567019,0.06796839448247834,169.39527927835093,7.020833333333333
PCA-5factor,11.201705642229483,9.867799710801057,1.1351776455260199,-7.8468105995728346,1.0254663389567542,4.0724777026332415,0.05936568411710441,153.6238851316621,5.0
EqualWeight (1/N),8.371019646368188,12.840202793759614,0.6519382739372728,-19.238653269585686,0.0,1.0000000000000029,0.002336448598130841,0.0,
