,sharpe,sharpe_ci_low,sharpe_ci_high,ann_vol_pct,ann_vol_pct_ci_low,ann_vol_pct_ci_high,deflated_sharpe_ratio
Sample,0.7696695404659288,-0.1822073689062794,1.6806290939995059,11.765801800918432,10.871119693419036,12.664558740150834,
LW-identity,0.6790728296098315,-0.26511525129706526,1.6159275777963353,10.200367664914461,9.317649970265247,11.222698563895161,
LW-constcorr,0.9487949125732523,-0.10158575977954866,1.9169021639683417,9.342940421001824,8.579550050109612,10.169799306407212,
MP-clipped,1.0783989667962428,0.05926114920311439,2.0475706093319217,9.768968721350873,8.687430860743598,10.906520003627511,
PCA-5factor,1.257405450177592,0.2236043462815735,2.2351258350099763,9.867799710801057,8.81540961837224,10.980026961423565,0.9748996638602128
