,sharpe,sharpe_ci_low,sharpe_ci_high,ann_vol_pct,ann_vol_pct_ci_low,ann_vol_pct_ci_high,deflated_sharpe_ratio
Sample,0.9895879094322311,-0.004037577773591955,2.1044260995387742,10.195998985515523,8.87865378288983,11.647979153696692,0.9294044965899106
LW-identity,0.9820596470977476,-0.02185130169603265,2.1033614774515867,10.175472734131061,8.857753332814585,11.619505235546988,
LW-constcorr,0.9588683610104365,0.019630806853471516,2.0128035066593926,10.138520036480571,8.883927978289709,11.585387934177444,
MP-clipped,0.7282171745351004,-0.20467790985532233,1.7037875278188606,10.35129095509135,8.966200494414128,11.933359688078891,
PCA-5factor,0.8888947784298947,-0.026038236502640894,1.923003317455658,10.242176774515924,8.903462254958841,11.659481070133413,
