window,estimator,ann_return_pct,ann_vol_pct,sharpe,max_drawdown_pct,avg_turnover,avg_leverage,avg_max_weight,avg_short_pct,diagnostic,q,n_assets
150,Sample (pseudo-inverse),9.23696762959634,10.102894498627597,0.9142892297698558,-10.802547175170954,4.702675112673995,5.639918531939692,0.055056323887599,231.9959265969847,,2.8533333333333335,428
150,LW-identity,8.3825363746919,9.381008361631098,0.893564535021309,-14.614578465505607,2.7854653261996036,5.075158259820675,0.049837784385198126,203.7579129910338,0.10040242285782792,2.8533333333333335,428
150,LW-constcorr,10.939873022651197,9.12630947755221,1.1987181729438139,-11.312506977894893,2.3445236001480434,4.876338652582711,0.0947140482837089,193.81693262913555,0.4029867507025282,2.8533333333333335,428
150,MP-clipped,9.77364990749092,9.863239821915103,0.9909167863661672,-8.536643062963657,1.5503808896266305,3.837227444912936,0.06412495628368417,141.86137224564678,5.264150943396227,2.8533333333333335,428
150,PCA-5factor,12.417722051949042,9.60932061221297,1.2922580641306456,-10.292261603143837,1.396453910536593,3.639118743576342,0.056324660832777346,131.9559371788171,5.0,2.8533333333333335,428
150,Sample (textbook inverse),102.90698910321964,541.5035487055269,0.19003936234438445,-1030.806971897126,558.7884265937745,329.06751002255,4.216945502191948,16403.375501127503,,2.8533333333333335,428
250,Sample (pseudo-inverse),9.055779265326088,11.765801800918432,0.7696695404659288,-17.410753594402514,8.101032445484616,9.221642711409627,0.08765935899986577,411.08213557048134,,1.712,428
250,LW-identity,6.926792533274092,10.200367664914461,0.6790728296098315,-14.742508082192119,3.362303669639992,6.945147607348303,0.0671128753658833,297.2573803674151,0.058446284900395294,1.712,428
250,LW-constcorr,8.864534339921528,9.342940421001824,0.9487949125732523,-12.588148222773455,2.240040677152202,5.854199033031158,0.09883581455652084,242.7099516515579,0.29583090589969735,1.712,428
250,MP-clipped,10.534845775769595,9.768968721350873,1.0783989667962428,-8.607488008442873,1.2817183042180396,4.387905585567019,0.06796839448247834,169.39527927835093,7.020833333333333,1.712,428
250,PCA-5factor,12.407825137622114,9.867799710801057,1.257405450177592,-7.8468105995728346,1.0254663389567542,4.0724777026332415,0.05936568411710441,153.6238851316621,5.0,1.712,428
250,Sample (textbook inverse),74.06451234296603,546.47029591141,0.13553254933910056,-869.0821120210728,671.2437605487758,397.80872443383674,5.0848747603586935,19840.436221691838,,1.712,428
375,Sample (pseudo-inverse),31.244258331226014,21.7726055994305,1.4350261473547874,-19.305437676155872,24.109656103822346,22.1016050911104,0.2515104839033849,1055.0802545555205,,1.1413333333333333,428
375,LW-identity,10.325279508731528,10.693183650347532,0.9655945176248755,-13.98961916295231,3.6118010080634875,8.62452691854188,0.08868568761059345,381.22634592709414,0.03708911276706649,1.1413333333333333,428
375,LW-constcorr,10.914892463385838,9.66422663675068,1.1294118891913385,-11.572761485472533,2.0686180589789265,6.640659972960156,0.09946733925016146,282.03299864800783,0.22599042799766467,1.1413333333333333,428
375,MP-clipped,12.405299799598131,9.903482471559972,1.2526199582038617,-9.93070881871776,1.0294362525116625,4.787340334391442,0.06532061242542311,189.3670167195721,8.261904761904763,1.1413333333333333,428
375,PCA-5factor,12.756504309019906,10.474183181335107,1.2178996765830747,-9.409178555534103,0.8016575227892557,4.395472269298364,0.05877152791527593,169.77361346491816,5.0,1.1413333333333333,428
375,Sample (textbook inverse),-173.3625675126936,459.30051937937986,-0.37744909965907747,-1155.041888010472,561.3463396349639,345.70096160703997,4.46154847372382,17235.048080351993,,1.1413333333333333,428
