,full_period_vol_pct,crisis_vol_pct,calm_vol_pct,avg_leverage
Sample,13.741343112876809,24.995828046869494,10.761419427856504,1.929686882783939
LW-identity,13.524489541345492,24.651165473003118,10.573010005428442,1.7966680472403402
LW-constcorr,13.675596479896434,24.815211883230617,10.733265473848133,1.7274456481550975
MP-clipped,13.902781489637523,25.382100701302395,10.85326592663049,1.8398029405662353
PCA-5factor,14.18228910519454,25.862943958192403,11.090212569072204,2.210094900832603
