,sharpe,sharpe_ci_low,sharpe_ci_high,ann_vol_pct,ann_vol_pct_ci_low,ann_vol_pct_ci_high,deflated_sharpe_ratio
Sample,0.7540151413072785,-0.16038574792110233,1.6716735085409116,9.668601104045694,8.736321734548977,10.746557002186398,
LW-identity,0.7592122286400205,-0.1480311925754724,1.6794133321009739,9.602311736015483,8.65297339839582,10.670281621205268,0.8726623006835936
LW-constcorr,0.6719670864245469,-0.2411650785720821,1.5749198348597429,9.558063009370704,8.650180623862111,10.577843816496122,
MP-clipped,0.4151528089511755,-0.4750049549845576,1.3314743041710395,9.707985140574088,8.734967638617045,10.83174791477761,
PCA-5factor,0.5136206832920864,-0.3938557663996979,1.4032907259641676,9.581788745381369,8.640352283814385,10.66162528532377,
