,sharpe,sharpe_ci_low,sharpe_ci_high,ann_vol_pct,ann_vol_pct_ci_low,ann_vol_pct_ci_high,deflated_sharpe_ratio
Sample,0.9195251878578434,-0.11294481570385978,2.1240183793841205,19.073886908547564,17.132805498213223,20.549681873523156,
LW-identity,0.7560838840779062,-0.09046478257804567,1.7677206342447616,11.126524131577275,10.195062038364181,12.264750233337422,
LW-constcorr,1.1254185486686137,0.21430323740278584,1.9301179426849722,10.066253187132403,9.134385863004619,11.11237834852927,
MP-clipped,1.3200565049948187,0.20529638608273837,2.2667615004600443,10.260049960035092,9.079342519715091,11.773626404618339,0.9665838504007301
PCA-5factor,1.0320239950936756,0.07321645007439484,1.9028250884529077,11.195502707324538,9.833640176255184,12.35829997999672,
